"DairyName","BusinessEntity_ID","BusinessEntity_ID_Flag","Physical_Address","Municipality","State","ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Municipal_WaterProvider_OWF_ID","Municipal_WaterProvider_OWF_ID_Flag","Latitude","Longitude","Lat_Long_Flag","WaterSource_GNIS_Name","WaterSource_GNIS_Name_Flag","WaterSource_GNIS_ID","WaterSource_GNIS_ID_Flag","Formation_Date","Formation_Date_Flag","Dissolution_Date","Dissolution_Date_Flag","Website","Website_Flag"
Galeton Dairy Land Company,20081565389,G,300 East 16th Street,Greeley,CO,80631,62022,G,,x,40.413464,-104.676080,g1,,x,,x,2008-10-27,G,,N,,x
Golden Rule Dairy,20171181384,G,25705 County Road JJ,Holly,CO,81047,50011,G,,x,38.100437,-102.289930,g1,,x,,x,2017-03-03,G,,N,,x
Graff Brothers Dairy,20041012052,G,628 1800 RD,Delta,CO,81416,15015,G,,x,38.744683,-108.027256,g1,,x,,x,2004-01-12,G,,N,,x
Graff Dairy,19981132915,G,575 29 ROAD,Grand Junction,CO,81504,39020,G,,x,39.087829,-108.515592,g1,,x,,x,1998-07-21,G,,N,,x
Granada Dairy,20131462026,G,29792 CR 22.5,Granada,CO,81041,50007,G,,x,38.071028,-102.347089,g1,,x,,x,2013-08-09,G,,N,,x
Granby Dairy,19871383703,G,106 EAST JASPER AVENUE,Granby,CO,80446,25008,G,,x,40.086122,-105.940250,g1,,x,,x,1979-10-12,G,2009-06-22,G,,x
Grannie's Goat Dairy,20151656018,G,8250 Crow Cutoff,Pueblo,CO,81004,51016,G,,x,37.987263,-104.837564,g1,,x,,x,2015-10-09,G,2016-02-25,G,,x
Graves Dairy,20011175392,G,5821 W CTY RD 54,Bellvue,CO,80512,,N,,x,40.647802,-105.189511,g1,,x,,x,2001-09-07,G,,N,,x
Great Western Dairy,20041358258,G,39390 CR 39,Ault,CO,80610,62003,G,,x,40.573207,-104.696310,g1,,x,,x,2004-10-13,G,,N,,x
Grett Dairy and Feedlot,19961015328,G,,,,,,M,,x,,,M,,x,,x,1996-02-01,G,2012-10-25,G,,x
Griffith Dairy,19951008368,G,16120 CR 24,Fort Morgan,CO,80701,44006,G,,x,40.250258,-103.799951,g1,,x,,x,1995-01-24,G,,N,,x
H and K Dairy,19901099429,G,9090 PAINTED HORSE LN,Wellington,CO,80549,35047,G,,x,40.717841,-105.013276,g1,,x,,x,1990-11-02,G,2008-05-26,G,,x
Haake Dairy,19991144052,G,322 Curtis,Brush,CO,80723,44001,G,,x,40.257214,-103.619187,g1,,x,,x,1999-08-02,G,2007-12-18,G,,x
Hanscome Dairy,20091468783,G,22382 Schultz Lane,Berthoud,CO,80513,64237,G,,x,40.325030,-105.054123,g1,,x,,x,2009-09-01,G,,N,,x
Haystack Mountain Goat Dairy,19951007473,G,1121 Colorado Ave. Unit A,Longmont,CO,80501,64205,G,,x,40.155128,-105.111600,g1,,x,,x,1995-01-20,G,,N,,x
Heritage Dairy,20071539667,G,5101 CR 32,Yuma,CO,80759,63017,G,,x,40.031739,-102.716604,g1,,x,,x,2007-11-28,G,,N,,x
